MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	29	96,55	100	100	83	3x25	7328	86,21	0	3,5
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	28	100	96,43	100	71	G4	2528	0	0	1,9
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	39	92,31	100	100	64	1x35	8209	97,44	0	3,8
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	38	100	100	100	100	G4	2078	0	0	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3659	100	0	3,8
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	836	0	0	2
8716878999989	8716878999996	871687800090000015	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	23	100	100	100	96	3x25	5082	91,3	0	3,2
8716878999989	8716878999996	871718518003006694	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	23	100	100	100	74	G4	2155	0	0	2
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	15	100	100	100	93	3x25	3313	100	0	3,5
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1684	0	0	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	25	100	100	100	80	3x25	2390	68	0	3,4
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	24	100	100	100	100	G4	1043	0	0	2
8716878999989	8716878999996	871687800090000015	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	ELK	KVB	23	95,65	100	100	87	1x35	2770	100	0	4,4
8716878999989	8716878999996	871718518003006694	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	GAS	KVB	22	100	100	100	100	G4	773	0	0	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	ELK	KVB	29	100	100	100	72	3x25	13876	100	0	3,1
