MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871718518003006694	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	GAS	KVB	20	100	100	100	100	G4	876	0	0	2
8716878999989	8716878999996	871687800090000015	HEULWEG	2291BW	2291BW	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	77	3x25	8428	92,31	0	3,4
8716878999989	8716878999996	871718518003006694	HEULWEG	2291BW	2291BW	WATERINGEN	NL	GAS	KVB	10	100	100	100	70	G4	2896	0	0	1,9
8716878999989	8716878999996	871687800090000015	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	ELK	KVB	21	90,48	100	100	71	3x25	6383	95,24	0	3,7
8716878999989	8716878999996	871718518003006694	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	GAS	KVB	19	100	100	100	53	G4	4003	0	0	2
8716878999989	8716878999996	871687800090000015	PLEIN	2291CA	2291CA	WATERINGEN	NL	ELK	KVB	22	100	100	100	41	3x25	21434	86,36	4,55	3,1
8716878999989	8716878999996	871718518003006694	PLEIN	2291CA	2291CA	WATERINGEN	NL	GAS	KVB	10	100	100	100	40	G4	5100	0	0	2
8716878999989	8716878999996	871687800090000015	PLEIN	2291CB	2291CB	WATERINGEN	NL	ELK	KVB	12	100	100	100	100	3x25	3562	100	8,33	3,3
8716878999989	8716878999996	871718518003006694	PLEIN	2291CB	2291CB	WATERINGEN	NL	GAS	KVB	11	100	100	100	100	G4	922	0	0	2
8716878999989	8716878999996	871687800090000015	PLEIN	2291CC	2291CC	WATERINGEN	NL	ELK	KVB	45	97,78	100	100	80	3x25	11496	93,33	2,22	3,2
8716878999989	8716878999996	871718518003006694	PLEIN	2291CC	2291CC	WATERINGEN	NL	GAS	KVB	43	100	100	100	86	G4	1632	0	2,33	2
8716878999989	8716878999996	871687800090000015	KERKLAAN	2291CD	2291CD	WATERINGEN	NL	ELK	KVB	24	91,67	100	100	88	3x25	5996	100	16,67	3,7
8716878999989	8716878999996	871718518003006694	KERKLAAN	2291CD	2291CD	WATERINGEN	NL	GAS	KVB	24	100	100	100	88	G4	6444	0	8,33	2
8716878999989	8716878999996	871687800090000015	KERKLAAN	2291CE	2291CE	WATERINGEN	NL	ELK	KVB	23	100	100	100	96	3x25	6192	100	17,39	3,7
8716878999989	8716878999996	871718518003006694	KERKLAAN	2291CE	2291CE	WATERINGEN	NL	GAS	KVB	22	100	100	100	77	G4	2183	0	13,64	2
8716878999989	8716878999996	871687800090000015	KERKLAAN	2291CG	2291CG	WATERINGEN	NL	ELK	KVB	15	93,33	100	100	100	3x25	5290	93,33	13,33	3,3
8716878999989	8716878999996	871718518003006694	KERKLAAN	2291CG	2291CG	WATERINGEN	NL	GAS	KVB	15	100	100	100	80	G4	3690	0	13,33	2
8716878999989	8716878999996	871687800090000015	KERKLAAN	2291CH	2291CH	WATERINGEN	NL	ELK	KVB	60	100	100	100	60	1x35	4346	91,67	1,67	4,1
8716878999989	8716878999996	871718518003006694	KERKLAAN	2291CH	2291CH	WATERINGEN	NL	GAS	KVB	59	100	100	100	100	G4	1026	0	1,69	2
8716878999989	8716878999996	871687800090000015	KERKLAAN	2291CJ	2291CL	WATERINGEN	NL	ELK	KVB	35	100	100	100	89	3x25	6595	100	0	3,2
8716878999989	8716878999996	871718518003006694	KERKLAAN	2291CJ	2291CM	WATERINGEN	NL	GAS	KVB	29	100	100	100	83	G4	1627	0	0	2
8716878999989	8716878999996	871687800090000015	HOFZICHT	2291CM	2291CM	WATERINGEN	NL	ELK	KVB	16	100	100	100	81	3x25	2567	93,75	0	3,4
8716878999989	8716878999996	871687800090000015	HOFZICHT	2291CN	2291CN	WATERINGEN	NL	ELK	KVB	15	100	100	100	100	3x25	3921	100	6,67	4,1
8716878999989	8716878999996	871718518003006694	HOFZICHT	2291CN	2291CN	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1589	0	6,67	2
8716878999989	8716878999996	871687800090000015	HOFZICHT	2291CP	2291CP	WATERINGEN	NL	ELK	KVB	17	100	100	100	100	3x25	3396	94,12	11,76	3,7
8716878999989	8716878999996	871718518003006694	HOFZICHT	2291CP	2291CP	WATERINGEN	NL	GAS	KVB	17	100	100	100	100	G4	1848	0	11,76	2
8716878999989	8716878999996	871687800090000015	HOFWIJK	2291CR	2291CR	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	92	3x25	3058	100	0	3,8
8716878999989	8716878999996	871718518003006694	HOFWIJK	2291CR	2291CR	WATERINGEN	NL	GAS	KVB	13	100	100	100	100	G4	1542	0	0	2
8716878999989	8716878999996	871687800090000015	HOFWIJK	2291CS	2291CS	WATERINGEN	NL	ELK	KVB	14	100	100	100	100	3x25	2647	100	7,14	3,9
8716878999989	8716878999996	871718518003006694	HOFWIJK	2291CS	2291CS	WATERINGEN	NL	GAS	KVB	14	100	100	100	100	G4	1393	0	7,14	2
8716878999989	8716878999996	871687800090000015	HOFPARK	2291CT	2291CV	WATERINGEN	NL	ELK	KVB	18	100	100	100	94	3x25	2713	100	0	3,3
8716878999989	8716878999996	871718518003006694	HOFPARK	2291CT	2291CV	WATERINGEN	NL	GAS	KVB	18	100	100	100	94	G4	1278	0	0	2
8716878999989	8716878999996	871687800090000015	GANTELPLEIN	2291CW	2291CZ	WATERINGEN	NL	ELK	KVB	29	100	100	100	62	1x35	2934	96,55	3,45	4,3
8716878999989	8716878999996	871718518003006694	HEERENVLIET	2291CZ	2291CZ	WATERINGEN	NL	GAS	KVB	27	100	100	100	96	G4	1042	0	3,7	2
8716878999989	8716878999996	871687800090000015	VLEERSTEEG	2291DA	2291DB	WATERINGEN	NL	ELK	KVB	32	100	100	100	84	3x25	5056	40,63	0	2,8
8716878999989	8716878999996	871718518003006694	VLEERSTEEG	2291DA	2291DB	WATERINGEN	NL	GAS	KVB	32	100	100	100	94	G4	2011	0	0	2
