MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716902099999	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	29	96,55	100	100	83	3x25	10342	89,66	17,24	3,4
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	28	100	100	100	79	G4	2964	0	17,86	2
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	39	92,31	100	100	64	1x35	5911	100	7,69	3,8
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	38	100	100	100	100	G4	1826	0	7,89	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3352	100	0	3,8
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	767	0	0	2
8716878999989	8716878999996	871687800090000015	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	25	100	100	100	92	3x25	5504	100	12	3,3
8716878999989	8716878999996	871718518003006694	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	22	100	95,45	100	73	G4	2214	0	4,55	1,9
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	16	100	100	100	75	3x25	2841	100	18,75	3,9
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1389	0	20	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	27	100	100	100	81	3x25	2438	81,48	11,11	3,5
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	26	100	100	100	100	G4	960	0	7,69	2
8716878999989	8716878999996	871687800090000015	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	ELK	KVB	23	95,65	100	100	87	1x35	3075	100	13,04	4,5
8716878999989	8716878999996	871718518003006694	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	GAS	KVB	22	100	100	100	100	G4	837	0	13,64	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	ELK	KVB	29	100	100	100	72	3x25	13222	96,55	6,9	3,2
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	GAS	KVB	25	100	100	100	76	G4	1639	0	8	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	ELK	KVB	12	100	100	100	67	3x25	11757	100	41,67	4,2
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	GAS	KVB	12	100	100	100	83	G4	1867	0	41,67	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BD	2291BG	WATERINGEN	NL	ELK	KVB	15	100	100	100	33	3x25	15611	86,67	40	3,9
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BE	2291BG	WATERINGEN	NL	GAS	KVB	15	100	100	100	67	G4	3519	0	20	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	ELK	KVB	18	100	100	100	56	3x25	13410	72,22	16,67	3,6
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	GAS	KVB	19	100	100	100	79	G4	2670	0	10,53	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	ELK	KVB	26	96,15	100	100	77	3x25	10904	96,15	15,38	3,5
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	GAS	KVB	24	100	100	100	71	G4	2143	0	12,5	2
