MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	29	96,55	100	100	83	3x25	9908	89,66	17,24	3,5
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	28	100	100	100	79	G4	2382	0	17,86	2
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	39	92,31	100	100	64	1x35	5210	100	7,69	3,8
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	38	100	100	100	100	G4	1731	0	7,89	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3354	100	0	3,8
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	748	0	0	2
8716878999989	8716878999996	871687800090000015	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	24	100	100	100	92	3x25	6031	100	4,17	3,2
8716878999989	8716878999996	871718518003006694	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	22	100	100	100	73	G4	2311	0	0	2
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	16	100	100	100	88	3x25	2832	100	6,25	3,6
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1357	0	6,67	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	27	100	100	100	81	3x25	2375	77,78	7,41	3,4
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	26	100	100	100	100	G4	907	0	3,85	2
