MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000000	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	ELK	KVB	20	100	100	100	100	1x35	1513	75	85	5,5
8716878999989	8716878999996	871718518003006000	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	GAS	KVB	20	100	100	100	100	G4	816	0	85	2
8716902099999	8716878999996	871687800090000000	HEULWEG	2291BW	2291BW	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	38	1x35	6771	84,62	53,85	4,2
8716878999989	8716878999996	871718518003006000	HEULWEG	2291BW	2291BW	WATERINGEN	NL	GAS	KVB	10	100	100	100	60	G4	1876	0	60	1,9
8716878999989	8716878999996	871687800090000000	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	ELK	KVB	25	68	100	100	52	3x25	5918	84	84	4,9
8716878999989	8716878999996	871718518003006000	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	GAS	KVB	21	100	100	100	57	G4	3603	0	71,43	2
8716878999989	8716878999996	871687800090000000	PLEIN	2291CA	2291CA	WATERINGEN	NL	ELK	KVB	20	95	100	100	40	3x25	17174	65	80	5,1
8716878999989	8716878999996	871718518003006000	PLEIN	2291CA	2291CB	WATERINGEN	NL	GAS	KVB	20	100	100	100	80	G4	2332	0	30	2
8716878999989	8716878999996	871687800090000000	PLEIN	2291CB	2291CB	WATERINGEN	NL	ELK	KVB	12	100	100	100	92	1x35	1860	66,67	83,33	4,9
8716878999989	8716878999996	871687800090000000	PLEIN	2291CC	2291CC	WATERINGEN	NL	ELK	KVB	48	93,75	100	100	52	1x35	10765	68,75	95,83	5,1
8716878999989	8716878999996	871718518003006000	PLEIN	2291CC	2291CC	WATERINGEN	NL	GAS	KVB	45	100	100	100	82	G4	1468	0	86,67	2
8716878999989	8716878999996	871687800090000000	KERKLAAN	2291CD	2291CD	WATERINGEN	NL	ELK	KVB	25	76	100	100	48	3x25	5526	68	100	5,4
8716878999989	8716878999996	871718518003006000	KERKLAAN	2291CD	2291CD	WATERINGEN	NL	GAS	KVB	24	100	100	100	83	G4	2106	0	83,33	2
8716878999989	8716878999996	871687800090000000	KERKLAAN	2291CE	2291CE	WATERINGEN	NL	ELK	KVB	30	83,33	100	100	60	1x35	4726	66,67	80	5,2
8716878999989	8716878999996	871718518003006000	KERKLAAN	2291CE	2291CE	WATERINGEN	NL	GAS	KVB	29	100	100	100	86	G4	1569	0	79,31	2
8716878999989	8716878999996	871687800090000000	KERKLAAN	2291CG	2291CG	WATERINGEN	NL	ELK	KVB	15	86,67	100	100	67	1x35	4184	53,33	86,67	4,9
8716878999989	8716878999996	871718518003006000	KERKLAAN	2291CG	2291CG	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1799	0	86,67	2
8716878999989	8716878999996	871687800090000000	KERKLAAN	2291CH	2291CH	WATERINGEN	NL	ELK	KVB	62	95,16	100	100	77	1x35	3303	66,13	77,42	5,1
8716878999989	8716878999996	871718518003006000	KERKLAAN	2291CH	2291CH	WATERINGEN	NL	GAS	KVB	60	100	100	100	93	G4	928	0	76,67	2
8716878999989	8716878999996	871687800090000000	KERKLAAN	2291CJ	2291CL	WATERINGEN	NL	ELK	KVB	35	85,71	100	100	63	3x25	4393	68,57	80	4,4
8716878999989	8716878999996	871718518003006000	KERKLAAN	2291CJ	2291CM	WATERINGEN	NL	GAS	KVB	29	100	100	100	76	G4	1330	0	82,76	2
8716878999989	8716878999996	871687800090000000	HOFZICHT	2291CM	2291CM	WATERINGEN	NL	ELK	KVB	16	93,75	100	100	100	1x35	2133	75	87,5	5,1
8716878999989	8716878999996	871687800090000000	HOFZICHT	2291CN	2291CN	WATERINGEN	NL	ELK	KVB	15	86,67	100	100	87	1x35	3419	73,33	86,67	5,1
8716878999989	8716878999996	871718518003006000	HOFZICHT	2291CN	2291CN	WATERINGEN	NL	GAS	KVB	15	100	100	100	53	G4	1703	0	86,67	2
8716878999989	8716878999996	871687800090000000	HOFZICHT	2291CP	2291CP	WATERINGEN	NL	ELK	KVB	17	58,82	100	100	76	1x35	3058	64,71	94,12	5,1
8716878999989	8716878999996	871718518003006000	HOFZICHT	2291CP	2291CP	WATERINGEN	NL	GAS	KVB	17	100	100	100	76	G4	1681	0	94,12	2
8716878999989	8716878999996	871687800090000000	HOFWIJK	2291CR	2291CR	WATERINGEN	NL	ELK	KVB	13	69,23	100	100	92	1x35	2924	61,54	100	5,2
8716878999989	8716878999996	871718518003006000	HOFWIJK	2291CR	2291CR	WATERINGEN	NL	GAS	KVB	13	100	100	100	62	G6	1309	0	100	2
8716878999989	8716878999996	871687800090000000	HOFWIJK	2291CS	2291CS	WATERINGEN	NL	ELK	KVB	14	92,86	100	100	100	1x35	2946	78,57	85,71	4,9
8716878999989	8716878999996	871718518003006000	HOFWIJK	2291CS	2291CS	WATERINGEN	NL	GAS	KVB	14	100	100	100	50	G4	1317	0	85,71	2
8716878999989	8716878999996	871687800090000000	HOFPARK	2291CT	2291CV	WATERINGEN	NL	ELK	KVB	18	100	100	100	78	1x35	2859	83,33	66,67	4,8
8716878999989	8716878999996	871718518003006000	HOFPARK	2291CT	2291CV	WATERINGEN	NL	GAS	KVB	18	100	100	100	94	G4	1024	0	61,11	2
8716878999989	8716878999996	871687800090000000	GANTELPLEIN	2291CW	2291CZ	WATERINGEN	NL	ELK	KVB	29	93,1	100	100	76	1x35	2917	68,97	82,76	4,8
8716878999989	8716878999996	871718518003006000	HEERENVLIET	2291CZ	2291CZ	WATERINGEN	NL	GAS	KVB	26	100	100	100	73	G4	1042	0	84,62	2
8716878999989	8716878999996	871687800090000000	VLEERSTEEG	2291DA	2291DB	WATERINGEN	NL	ELK	KVB	32	100	100	100	88	1x35	4956	59,38	81,25	5,1
8716878999989	8716878999996	871718518003006000	VLEERSTEEG	2291DA	2291DB	WATERINGEN	NL	GAS	KVB	32	100	100	100	91	G4	1922	0	78,13	2
8716878999989	8716878999996	871687800090000000	BAKKERSHOF	2291DC	2291DC	WATERINGEN	NL	ELK	KVB	14	100	100	100	93	1x35	2187	100	85,71	5,4
8716878999989	8716878999996	871718518003006000	BAKKERSHOF	2291DC	2291DC	WATERINGEN	NL	GAS	KVB	14	100	100	100	86	G4	811	0	78,57	1,6
8716878999989	8716878999996	871687800090000000	BAKKERSHOF	2291DD	2291DD	WATERINGEN	NL	ELK	KVB	34	100	100	100	94	1x35	1936	58,82	88,24	5,2
8716878999989	8716878999996	871718518003006000	BAKKERSHOF	2291DD	2291DD	WATERINGEN	NL	GAS	KVB	32	100	100	100	91	G4	634	0	84,38	2
8716878999989	8716878999996	871687800090000000	BAKKERSHOF	2291DE	2291DE	WATERINGEN	NL	ELK	KVB	39	100	100	100	90	1x35	3364	76,92	82,05	5,1
8716878999989	8716878999996	871718518003006000	BAKKERSHOF	2291DE	2291DE	WATERINGEN	NL	GAS	KVB	37	100	100	100	100	G4	557	0	81,08	2
8716878999989	8716878999996	871687800090000000	WATERSTAATSPAD	2291DG	2291DX	WATERINGEN	NL	ELK	KVB	52	73,08	100	100	73	1x35	3170	76,92	75	5,4
8716878999989	8716878999996	871718518003006000	WATERSTAATSPAD	2291DG	2291DX	WATERINGEN	NL	GAS	KVB	51	100	100	100	98	G4	1451	0	74,51	2
8716878999989	8716878999996	871687800090000000	AMBACHTSHOF	2291DZ	2291EA	WATERINGEN	NL	ELK	KVB	27	70,37	100	100	78	1x35	3817	59,26	88,89	5,2
8716878999989	8716878999996	871718518003006000	AMBACHTSHOF	2291DZ	2291EA	WATERINGEN	NL	GAS	KVB	27	100	100	100	100	G4	1426	0	85,19	2
8716878999989	8716878999996	871687800090000000	NOORDWEG	2291EB	2291EE	WATERINGEN	NL	ELK	KVB	17	58,82	100	100	71	3x25	5026	58,82	100	5,5
8716878999989	8716878999996	871718518003006000	NOORDWEG	2291EB	2291EE	WATERINGEN	NL	GAS	KVB	17	100	100	100	82	G4	2303	0	82,35	1,9
8716878999989	8716878999996	871687800090000000	POORTWEIDE	2291EH	2291EH	WATERINGEN	NL	ELK	KVB	32	100	100	100	91	1x35	2041	71,88	87,5	4,9
8716878999989	8716878999996	871718518003006000	POORTWEIDE	2291EH	2291EH	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	793	0	85,71	2
8716878999989	8716878999996	871687800090000000	POORTWEIDE	2291EJ	2291EJ	WATERINGEN	NL	ELK	KVB	41	100	100	100	88	1x35	2411	63,41	90,24	5,1
8716878999989	8716878999996	871718518003006000	POORTWEIDE	2291EJ	2291EJ	WATERINGEN	NL	GAS	KVB	37	100	100	100	100	G4	815	0	89,19	2
8716878999989	8716878999996	871687800090000000	ERASMUSWEG	2291EK	2291EN	WATERINGEN	NL	ELK	KVB	30	86,67	100	100	73	1x35	2966	70	63,33	4,7
8716878999989	8716878999996	871718518003006000	ERASMUSWEG	2291EK	2291EN	WATERINGEN	NL	GAS	KVB	29	100	100	100	93	G4	1401	0	62,07	2
8716878999989	8716878999996	871687800090000000	PRINS HENDRIKSTRAAT	2291EP	2291EP	WATERINGEN	NL	ELK	KVB	24	83,33	100	100	83	1x35	2980	58,33	95,83	5,1
8716878999989	8716878999996	871718518003006000	PRINS HENDRIKSTRAAT	2291EP	2291EP	WATERINGEN	NL	GAS	KVB	24	100	100	100	96	G4	1327	0	95,83	2
8716878999989	8716878999996	871687800090000000	PRINS HENDRIKSTRAAT	2291ER	2291ER	WATERINGEN	NL	ELK	KVB	23	86,96	100	100	100	1x35	2637	65,22	100	5,1
8716878999989	8716878999996	871718518003006000	PRINS HENDRIKSTRAAT	2291ER	2291ER	WATERINGEN	NL	GAS	KVB	23	100	100	100	96	G4	1291	0	100	2
8716878999989	8716878999996	871687800090000000	PRINS HENDRIKSTRAAT	2291ES	2291ES	WATERINGEN	NL	ELK	KVB	17	76,47	100	100	88	1x35	3505	58,82	88,24	5,2
8716878999989	8716878999996	871718518003006000	PRINS HENDRIKSTRAAT	2291ES	2291ES	WATERINGEN	NL	GAS	KVB	16	100	100	100	100	G4	1581	0	87,5	2
8716878999989	8716878999996	871687800090000000	PRINS BERNHARDSTRAAT	2291ET	2291ET	WATERINGEN	NL	ELK	KVB	15	86,67	100	100	93	1x35	3196	46,67	66,67	4,9
8716878999989	8716878999996	871718518003006000	PRINS BERNHARDSTRAAT	2291ET	2291ET	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1397	0	60	2
