MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	29	96,55	100	100	83	3x25	7314	89,66	6,9	3,5
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	27	100	100	100	74	G4	2353	0	7,41	2
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	39	92,31	100	100	64	1x35	7830	94,87	5,13	3,8
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	38	100	100	100	100	G4	2038	0	5,26	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3669	100	0	3,8
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	787	0	0	2
8716878999989	8716878999996	871687800090000015	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	24	100	100	100	96	3x25	4396	87,5	0	3,2
8716878999989	8716878999996	871718518003006694	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	23	100	100	100	74	G4	2307	0	0	2
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	16	100	100	100	88	3x25	3083	100	0	3,6
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1571	0	0	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	27	100	100	100	81	3x25	2396	74,07	0	3,4
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	26	100	100	100	100	G4	1020	0	0	2
8716878999989	8716878999996	871687800090000015	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	ELK	KVB	24	95,83	100	100	88	1x35	2728	100	0	4,5
8716878999989	8716878999996	871718518003006694	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	GAS	KVB	23	100	100	100	100	G4	815	0	0	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	ELK	KVB	28	100	100	100	75	3x25	14617	96,43	0	3,1
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	GAS	KVB	24	100	100	100	75	G4	1939	0	0	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	ELK	KVB	12	100	100	100	75	3x25	9753	100	8,33	3,8
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	GAS	KVB	12	100	100	100	75	G4	2327	0	8,33	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BE	2291BG	WATERINGEN	NL	ELK	KVB	14	100	100	100	50	3x25	23336	92,86	14,29	3,4
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BE	2291BG	WATERINGEN	NL	GAS	KVB	15	100	100	100	67	G4	3549	0	0	1,9
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	ELK	KVB	19	100	100	100	63	3x25	16884	84,21	5,26	3,3
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	GAS	KVB	19	100	100	100	79	G4	2663	0	0	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	ELK	KVB	25	96	100	100	80	3x25	12575	92	8	3,5
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	GAS	KVB	23	100	100	100	74	G4	2523	0	4,35	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BL	2291BR	WATERINGEN	NL	ELK	KVB	43	97,67	100	100	93	3x25	4371	90,7	0	3,4
8716878999989	8716878999996	871718518003006694	HERENSTRAAT	2291BL	2291BR	WATERINGEN	NL	GAS	KVB	39	100	100	100	92	G4	1734	0	0	2
8716878999989	8716878999996	871687800090000015	ARKPAVILJOEN	2291BS	2291BS	WATERINGEN	NL	ELK	KVB	19	100	100	100	84	3x25	1605	100	0	3,2
8716878999989	8716878999996	871718518003006694	ARKPAVILJOEN	2291BS	2291BS	WATERINGEN	NL	GAS	KVB	18	100	100	100	100	G4	931	0	0	2
8716878999989	8716878999996	871687800090000015	ARKPAVILJOEN	2291BT	2291BT	WATERINGEN	NL	ELK	KVB	18	100	100	100	94	3x25	1470	100	0	3
8716878999989	8716878999996	871718518003006694	ARKPAVILJOEN	2291BT	2291BT	WATERINGEN	NL	GAS	KVB	18	100	100	100	100	G4	836	0	0	2
8716878999989	8716878999996	871687800090000015	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	ELK	KVB	20	100	100	100	100	3x25	1348	95	0	3,1
8716878999989	8716878999996	871718518003006694	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	GAS	KVB	20	100	100	100	100	G4	876	0	0	2
8716878999989	8716878999996	871687800090000015	HEULWEG	2291BW	2291BW	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	77	3x25	8401	92,31	0	3,4
8716878999989	8716878999996	871718518003006694	HEULWEG	2291BW	2291BW	WATERINGEN	NL	GAS	KVB	10	100	100	100	70	G4	3160	0	0	1,9
8716878999989	8716878999996	871687800090000015	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	ELK	KVB	21	90,48	100	100	71	3x25	7610	95,24	0	3,7
8716878999989	8716878999996	871718518003006694	HEULWEG	2291BX	2291BZ	WATERINGEN	NL	GAS	KVB	19	100	100	100	53	G4	4071	0	0	2
