MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716902099999	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	28	89,29	100	100	57	3x25	5851	96,43	71,43	4,9
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	27	100	100	100	89	G4	2017	0	74,07	2
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	40	62,5	100	100	60	1x35	5077	97,5	87,5	5,2
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	39	100	100	100	97	G4	1737	0	89,74	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3078	100	96,55	4,4
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	93	G4	742	0	96,43	2
8716878999989	8716878999996	871687800090000015	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	53	62,26	100	100	81	3x25	3956	100	96,23	5
8716878999989	8716878999996	871718518003006694	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	41	100	100	100	95	G4	1772	0	90,24	2
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	18	100	100	100	78	1x35	2574	100	94,44	5
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	17	100	100	100	94	G4	1702	0	88,24	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	27	88,89	100	100	85	1x35	2163	92,59	85,19	4,9
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	26	100	100	100	100	G4	918	0	80,77	2
8716878999989	8716878999996	871687800090000015	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	ELK	KVB	24	95,83	100	100	88	1x35	2718	100	79,17	4,9
8716878999989	8716878999996	871718518003006694	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	GAS	KVB	23	100	100	100	96	G4	776	0	78,26	2
8716878999989	8716878999996	871687800090000015	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	ELK	KVB	28	96,43	100	100	43	3x25	10493	100	64,29	4,5
